D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Cliente solicita informaci?n de la fecha de vencimiento de la revisi?n peri?dica del gas.,_,LA UNION,Gas,Oficina de atención,,Regional,LA AMABILIDAD DEL ASESOR QUE ESTUVO PENDIENTE  Y ME COLABORO  CON MI REQUERIMIENTO (NO DA  MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCUMPLIMIENTO DE LA REVISION EN LAS FECHAS ESTABLECIDAS,"Cliente: CINDY KATHERINE PARRA
Cedula: 1128401588
Telefono: 3013925300
Direccion: CL 99 CR 82 -77 
Autoriza msn: si
Id: 00001042611554135948
Usuaria demasiado molesta ya que lleva tres citas incumplida, se agend? para el d?a  27/03/2019 en horas de la ma?ana, pero ese d?a esperaron y solo le dieron la atenci?n en las horas de la tarde. Se genero otra visita para el d?a 29/03/2019 tambi?n en horas de la ma?ana y volvieron a incumplir, se comunicaron y dijeron que no pod?an asistir y dieron cita prioritaria para el domingo 31/03/2019 pero tambi?n volvieron a incumplir y no fueron de nuevo. Pide que por favor se verifique toda la informaci?n ya que lleva mucho tiempo esperando. Dice que si llegase a generar suspensi?n del servicio, lo debe asumir la empresa.",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"DESPUÉS DE HABER LLAMADO DURANTE VARIAS VECES NO VENÍAN A HACER EL SERVICIO DE MANTENIMIENTO DE LOS CINCO AÑOS  DEL GAS  INCUMPLÍAN LAS CITAS  QUE HABÍAN AGENDADO CON ANTERIORIDAD UNA  Y VARIAS VECES EL PROBLEMA  NO ES DIRECTAMENTE DE EPM CREO YO, PERO ELLOS  SON RESPONSABLES DE LOS CONTRATISTAS QUE LES PRESTAN EL SERVICIO SI ELLOS INCUMPLEN ES EPM QUIEN INCUMPLE ESA DEMORA E INCUMPLIMIENTO EN EL SERVICIO FUE LO QUE ME MOLESTO",INCIDENTES NEGATIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ YA QUE ME SOLUCIONO EL REQUERIMIENTO  PARA LO QUE YO ESTABA LLAMANDO,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,PLAZO PARA PAGO,Usuaria en calidad de inquilina solicita plazo para pago.,_,CAREPA,Energía,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuaria en calidad de inquilina reclama por consumo facturado den marzo de 2019. Registra 216 kilovatios, promedio 219.",_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LO QUE ME AGRADO FUE LA ATENCIÓN ME PARECE QUE ES BUENA Y ES OPORTUNA. SE INDAGA Y SE ORIENTA, PERO LA SEÑORA NO DA MÁS INFORMACIÓN",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,PLAZO PARA PAGO,usuaria soliicita plazo,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN DEL PERSONAL MUY AMABLE ME RESOLVIÓ TODO LO QUE NECESITE EN EL MOMENTO,INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"Nombre: JESUS BEJARANO BLANDON
Cc: 11807698
Tel: 3007406984
Dir: CR 55 -96 -97 (INTERIOR 144 ) Y CR 55 -96 -97 (INTERIOR 145 )
Autoriza SMS: SI
Id:00001083461554245550
Usuario con solicitud 21119675 y 21119702 para legalizaci?n con ANS vencido. Solicita agilidad.",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"MÁS QUE TODO EL TIEMPO DE ATENCIÓN, PORQUE LA INFORMACION QUE DEBÍAN BRINDAR ES UNA INFORMACION QUE ES EL PAN DE CADA DÍA, INFORMACION MUY CORTA Y EL PROCESO ES MUY LARGO PARA QUE LA BRINDE. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita el estado de los pedidos 21123070 y 21030038.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,LA SEÑORITA QUE ME ATENDIÓ MUY DILIGENTE PARA LA SOLUCIÓN DEL INCONVENIENTE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,QUE ME RESOLVIERON LA INQUIETUD Y EL PROBLEMA LIGERO. SE INDAGA NO DA MÁS INFORMACION.,INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,ANZA,No aplica,Línea de atención,,Regional,QUE LOS ASESORES NO ESTÁN BIEN INFORMADOS EN CUANTO A QUE LOS ASESORES NO   SABÍAN LA INFORMACIÓN QUE REQUERÍAMOS,INCIDENTES NEGATIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,"Usuario solicita explicaci?n de la factura de marzo de 2019, manifiesta que la casa se encuentra vac?a.",_,CAREPA,Gas,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,QUE EL PROBLEMA SE SOLUCIONÓ DE INMEDIATO EN LA CANCELACIÓN DEL SERVICIO PORQUE YO REALMENTE HABÍA COLOCADO UN RADICADO PARA SOLICITAR UNA VISITA LA CUAL NO LA REALIZARON PORQUE LA PRIMERA PERSONA LA REPORTO MUY DIFERENTE A LO QUE YO NECESITABA QUE ERA LA PRESIÓN DEL AGUA PERO LA SEGUNDA PERSONA QUE ME ATENDIÓ YA ME RESOLVIÓ ME DIJO QUE LA VISITA NUNCA SE REALIZÓ POR EL TIPO DE INFORME QUE HABÍAN REALIZADO ANTERIORMENTE Y LA CANCELE PORQUE LOS DUEÑOS DEL LOCAL LO HICIERON DE MANERA PARTICULAR YA QUE PASO UN MES Y QUE EPM NO SE HABÍA PRESENTADO POR ESE INCONVENIENTE POR LO QUE LO HABÍAN PASADO DE MANERA DIFERENTE SINO COMO PRESENCIA QUE ERA LO QUE YO NECESITABA,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,PORQUE ME PASABAN DE OPERADOR EN OPERADOR Y NO ME QUERÍAN ATENDER DURE CASI MEDIA HORA ESPERANDO A QUE ME ATENDIERAN. SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES NEGATIVOS
Quejas aguas (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"Nombre:  Durleyi Osorio Quiceno
Cc: 43870825
Tel: 3004431368
Dir:  CR 8 A CL 58 -34   
Autoriza SMS: SI
Id: 000600000A0306DA23400002
Solicitud en Hidro 2654359 para instalar medidor de acueducto prepago desde el 4 de enero del 2019, usuario inconforme con el tiempo de respuesta.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"NO PUES QUE LA ATENCIÓN SI ESTUVO BIEN CUANDO ME COMUNIQUE, EN CUANTO QUE ELLOS TUVIERON EN CUENTA MI SOLICITUD ME SOLUCIONARON EL PROBLEMA QUE YO ESTABA PRESENTADO Y FUERON MUY PUNTUALES CON EL CASO, SE LE INDAGA, PERO NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,SOLICITA ORIENTACION DE QUEJAS INTERPUESTAS POR NO CONEXION AL SERVICIO,_,GUARNE,Energía,Oficina de atención,,Regional,"PORQUE QUE ME PONEN QUEJAS Y SE DEMORAN MUCHO EN CONTESTARLAS Y NO ME RESUELVEN NADA, ELLOS EN SI NO PUEDEN RESOLVER NADA PORQUE UNO VA CON UNA RECLAMACIÓN Y NO  RESUELVEN PORQUE ELLOS TIENEN QUE ESPERAR QUE LE RESUELVEN A UNO LA SOLICITUD ENTONCES LO CONFUNDEN A UNO MUCHO. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Quejas Energía (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"ANA CATALINA GIRALDO 
cc 43164824 
tels: 3007849728 / 3007850197
 se toma con instalaci?n aleda?a: 190319207201025000 
Cliente con pedido 20831847 para habilitar vivienda, sin atender y con tiempo de atenci?n vencido desde, pendiente desde el 2018-08-01. Solicita pronta atenci?n, indica que fueron en octubre como indica la queja anterior PQR-4972326-T6N5, indica que le contratista le indica que tiene que solicitar redes primarias, manifiesta que esta afectada  por la espera. El Cliente solicita que se haga una llamada antes de ir. Por favor validar y atender prontamente.",_,GUARNE,Energía,Línea de atención,,Regional,"QUE NO ME DIERON SOLUCIÓN, YA  LLEVO UN AÑO SOLICITANDO SERVICIO DE LUZ Y NO ME HAN DADO SOLUCIÓN. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"EL TRATO ES BUENO EN CUANTO A QUE AL COMPARARLO CON LAS OTRAS COMPAÑÍAS ES BUENA YA QUE LA ATENCIÓN ES BUENA, ES MÁS RÁPIDA Y CON MÁS RESPETO. NO DA MÁS INFORMACION. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LAS DOS NIÑAS QUE ME ATENDIERON FUERON MUY PROFESIONALES, FUE EXCELENTE , TODO ESTUVO MUY BIEN, LA NIÑA QUE ME ATENDIÓ POR EL TELÉFONO ESTUVO MUY BIEN AFORTUNADAMENTE.",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD TRABAJOS,"USU: SANDRA JARAMILLO VASQUEZ  / 3207607300 - 5399321 / se comunica usuaria ara notificar de que esta siendo damnificada por que le instalaron el gas a el local ubicado en la direcci?n: CR 86 CL 98 B -3desde mas o menos el mes de agosto, dejaron un hueco el cual no ha sido tapado, y en temporada de lluvias este se carga de agua inundando su casa, el contrato que instalo fue: CW21737, usuaria pide pronta soluci?n a dicho inconveniente / jescre / id: 00001044241554215717",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,NO RECUERDA BIEN ; ME ATENDIERON BIEN QUEDE CONFORME CON LA LLAMADA ME TRATARON AMABLEMENTE Y RESOLVIERON EL PROBLEMA,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),_,_,_,_,_,Gas,Oficina de atención,,Metropolitana,QUE TENÍA UN FICHO Y ME ATENDIERON MUY RÁPIDO (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,QUE ME SOLUCIONARON EL INCONVENIENTE. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA ASESORA QUE ME  ATENDIÓ  ME EXPLICO MUY BIEN LO QUE LE ESTABA PREGUNTANDO Y FUE MUY  FORMAL,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,El usuario solicita duplicado,_,SANTO DOMINGO,Energía,Oficina de atención,,Regional,TODO MUY BONITO MUY MODERNO Y LIMPIO INNOVADORES LOS MUEBLES BONITOS AMPLIOS MUY FRESCO EL ESPACIO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,ME MOLESTO QUE EN LA PRIMERA VEZ QUE ME TUVE QUE COMUNICAR ME DIJERON QUE NO HABÍA SISTEMA Y PUES ESO ME INCOMODO  Y FUERA DE ESO COMO DISPONÍA DE POQUITO TIEMPO LA SEGUNDA CITA ME TOCO PEDIRLA SOBRE EL ÚLTIMO PLAZO.,INCIDENTES NEGATIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Cliente en calidad de tramitadora requiere realizar solicitud para legalizaci?n y reforma de energ?a,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,MUCHA DEMORA ESPACIOS VACÍOS DONDE DEBERÍA HABER PERSONAL ATENDIENDO Y UNO HAY ESPERANDO MÁS DE 10 PERSONAS ESPERANDO Y MUCHOS ESPACIOS VACIOS.NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,TURBO,Energía,Línea de atención,,Regional,"LA ATENCIÓN QUE FUE MUY BUENA EN CUANTO A QUE FUERON DECENTES ME BRINDARON ASESORÍA Y ME EXPLICARON TODO LO RELACIONADO Y NO TARDARON EN ATENDER EL DAÑO Y TOMAR LA SOLICITUD, NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD TRABAJOS,"Usuaria MARILUZ BARRERA ZAPATA cc 43101124 Tels 3014232708 Dir DIAG 43 AVDA 34 E -20 (INTERIOR 9936 ) Bello
indica que el d?a de ayer 3/04/2019 se hizo la ultima revisi?n orden  ORD -00737694 Habilitaci?n servicio ODI externa
por parte de CONSORCIO CONDUGAS S.A. - SILAR S.A. y se dejo la v?lvula de la cocina abierta al igual que una perilla de la estufa, cuando la usuaria llego a las 9 p.m toda la casa estaba con olor a gas, por favor validar ya que le parece una irresponsabilidad por parte del contrato 
Autoriza SMS: SI",_,BELLO,Gas,Línea de atención,,Metropolitana,CUANDO FUERON A ORGANIZAR EL GAS EL TÉCNICO DEJO ABIERTA  LA LLAVE DEL GAS POR ESO CUANDO LLEGUE EL APARTAMENTO ESTABA LLENA DE GAS  ME  TOCO VENTILARLO,INCIDENTES NEGATIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,ME HA IDO BIEN EN LA LÍNEA LA ATENCIÓN QUE ME HAN PRESTADO CUANDO HE TENIDO ALGÚN PROBLEMA O CUANDO LLAMO A CONSULTAR ACERCA CUALQUIER SERVICIO QUE NECESITO DE EPM ME HA GUSTADO LA ATENCIÓN QUE ME HAN DADO/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,SABANETA,Gas,Línea de atención,,Metropolitana,"EL TIEMPO DE RESPUESTA PORQUE FUE MUY RÁPIDO, FUERON AL OTRO DÍA, ADEMÁS LA LLAMADA EL SERVICIO FUE BUENO, LLAME DE LA LÍNEA DE ATENCIÓN DESDE LA OFICINA DE EPM Y ME ATENDIERON SUPER RÁPIDO",INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,_,No aplica,Línea de atención,,Metropolitana,LA ATENCIÓN  DEL ASESOR FUE BUENA EN CUANTO A QUE ME DEJO CLARO LA PREGUNTABA QUE LE ESTABA HACIENDO,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,TURBO,Energía,Línea de atención,,Regional,"QUE SON AMABLES, LO ATIENDEN A UNO Y LE BRINDAN A UNO EL SERVICIO GARANTIZADO Y ES SORPRENDENTE PARA UNO. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Usuaria en calidad de inquilina reclama por el consumo de acueducto facturado en el mes de marzo de 2019. Habitan cinco personas.,_,SABANETA,Acueducto,Oficina de atención,,Metropolitana,"ME ATENDIERON PERFECTAMENTE EN LA AMABILIDAD, Y ME RECORDARON EL PROBLEMA QUE TENÍA Y ME DIERON LA INFORMACION; PUDE HACER UN ABONO (PAGO) SIN NINGÚN PROBLEMA, PORQUE SE ME HABÍA INCREMENTADO EL SERVICIO.",INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,"Usuario en calidad de propietario, solicita los requisitos para presentar solicitud de conexi?n del servicio de energ?a para una vivienda ubicada en la vereda patio bonito de municipio de Cisneros.",_,SANTO DOMINGO,Energía,Oficina de atención,,Regional,"LA ATENCIÓN EN CUANTO A LA DISPONIBILIDAD EL COMPROMISO DE LA PERSONA COLABORÁNDOLE A UNO PORQUE ME TOCO LLENAR UN FORMATO Y ME INDICO COMO SE LLENABA PARA HACER LA SOLICITUD, EL ESPACIO TODO MUY AGRADABLE MUY BIEN ATENDIDO. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,Usuario solicita duplicado.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,POR LA OPORTUNIDAD Y ATENCIÓN DEL SERVICIO A MI SOLICITUD,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"Nombre: Luz Marina Orrego  
Cc: 32521454
Tel: 2176040 - 3015726326
Dir: CL 32 CR 33 B - 43 
Autoriza SMS: SI 
Id: 00001095921554491566
Usuario manifiesta inconformidad con la atenci?n el cual estaba mas pendiente del celular y de responder mensajes y adicional el funcionario no le brinda la  informaci?n exacta de la fuga que identifico y que le iba suspender el servicio, usuaria brinda el nombre del funcionario Diego Alejandro Mart?nez el cual atendi? la orden de 7817779 revisi?n peri?dica de la empresa O&I,  por favor validar",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,EL SERVICIO DEL TÉCNICO NO ME DIO LA INFORMACION COMPLETA; CUANDO CERRO EL CONTADOR DEL GAS POR QUE EL LLEGO TARDE CERRO EL CONTADOR Y NO ME  AVISO AFECTO A DOS CASAS LA REVISIÓN ERA POR DOS CASAS QUE COMPARTEN EL SERVICIO EL TÉCNICO ME PASO UN PAPEL QUE TENÍA QUE FIRMAR  DONDE APROBABA EL CIERRE DEL SERVICIO ÉL NO FUE CLARO CON LA INFORMACION  CUANDO TERMINO LA REVISIÓN DEL GAS NO ME EXPLICO QUE ERA LO QUE ESTABA FIRMANDO,INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LA TARDANZA EN ATENDER LA SOLICITUD, SE DEMORARON MUCHO PARA RESOLVER. SE INDAGA NO DA MÁS INFORMACION.",INCIDENTES NEGATIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,LA ATENCIÓN LA PERTINENCIA DE LA ASESORÍA A LA RESPUESTA POSITIVA QUE ME BRINDARON EN LA LÍNEA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"LA AMABILIDAD DE LA PERSONA QUE ME ATENDIÓ, TUBO PACIENCIA A LA HORA DE INFORMARME EL PIN Y LO QUE NECESITA",INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"En calidad de nueva inquilina reclama por los valores facturados en el mes de marzo de 2019, en el servicio de agua.",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"HUBO MUCHA DEMORA Y MUCHA FILA, POR LO QUE ME DEMORE CASI TRES HORAS EN LA OFICINA. SIN EMBARGO, EN LA SOLICITUD FUI BIEN ATENDIDA PORQUE ME RESOLVIERON LAS DUDAS QUE TENÍA.",INCIDENTES NEGATIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,LA BUENA ATENCIÓN Y RESPETO EN QUE FUERON MUY AMABLES Y QUE ME ATENDIERON LA DENUNCIA MUY BIEN EN QUE NO ME PIDIERON NINGÚN DOCUMENTO PORQUE UNO VA A OTRA PARTE A PONER UN DENUNCIO ES CON UNA REPELENCIA EN CAMBIO ELLOS CONTESTARON CON GANAS DE RECIBIR LA LLAMADA,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,NO CONEXION DEL SERVICIO,"Se comunica el sr Edwin Giraldo con cc 98530853 tiene orden de trabajo en estado trabjajo realizado por lo tanto no le han hecho la revison de CO, y le siuspendieron, deja como observacion que como minimo le debieron hacer avizado que le iban a suspender, luego dicen que el autorizo y que eso es falso, le dejaron cepo, se solicita retirar cepo devolver el servicio cerrar orden y que le realicen la prueba de co que es por parte nuestra y le legalicen.
id 00001099351553865179/odiaz.
TEL 3016164490-3145931317 (frank ) aut msm.",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LA ATENCIÓN DE LA  FUNCIONARIA FUE MUY COMPLACIENTE, PERO SIN EMBARGO ME DIJO QUE NO DEPENDÍA DE ELLA NI DE EPM LA RESPONSABILIDAD ERA DEL CONTRATISTA NO DA MÁS  INFORMACION",INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"ME QUEDE SIN LUZ 8 DÍAS, ME COMUNICABA A LA LÍNEA Y ME PONÍA A ESPERAR EN LA LÍNEA, ME DECÍAN QUE ESTABA ACTIVO EL SERVICIO Y REPORTARON LA NOVEDAD HASTA LOS 8 DÍAS DESPUÉS. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Cliente usuaria solicita copia facturas para diligenicias personales,_,NECOCLI,Energía,Oficina de atención,,Regional,LA ATENCIÓN DE LA MUCHACHA MUY QUERIDA ME PARECE QUE TIENE DOS NIÑAS QUE ATIENDEN MUY BIEN AL PÚBLICO A PESAR DE QUE VAN A PONER INCONVENIENTE Y SABER QUE ELLAS NO SON LAS RESPONSABLES. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,la  hija  de la  propietaria   a   reclamar  por  el  consumo   facturado   para  marzo/2019,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"HAGO UNA FILA BASTANTE GRANDE PARA OBTENER INFORMACION Y NO LA DAN, NO EXPLICAN BIEN LAS COSAS, Y SI ME TOCA ESPERAR BASTANTE TIEMPO. NO RESPETAN QUE ESPERE TANTO TIEMPO PARA PODER ENTENDER BIEN LAS COSAS.",INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,ME CONTESTARON RÁPIDO Y DE UNA ME SOLUCIONARON. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"Nombre:Julio C?sar Restrepo
Cc: 1020393090
Tel: 3022022725
Dir:CR 42 B CL 108 A -24
Autoriza SMS: SI
Id:00001123781554423541
cliente informa que  se tenia la visita para la revisi?n peri?dica asegura que cuando fue el funcionario este encontr? una figa y le informo que deb?a repararla, pero no le indico que deb?a de comunicarse mu?vame  para agendar de nuevo la visita, por lo que se procedi? a suspender el servicio de gas bajo orden 26739671. favor validar.",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"FUE QUE CUANDO EL FUNCIONARIO EFECTUÓ LA REVISIÓN Y NOS INFORMÓ QUE DEBÍAMOS CORREGIR  UNA FUGA Y QUE COMO TAL EPM NO HACIA LAS REPARACIONES Y NOS TOCABA A NOSOTROS HACER LA REPARACIÓN, PERO NO ME INFORMO QUE DEBERÍA  CONTACTAR A EPM PARA REPORTAR EL ARREGLO PARA EL VISTO BUENO DE EPM ESO CONLLEVO A LA SUSPENSIÓN DEL SERVICIO Y EL PAGO DE LA RECONEXIÓN",INCIDENTES NEGATIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR EN CUANTO A QUE ME DIO  SOLUCIÓN A LO QUE NECESITABA / NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,Usuaria solicita cup?n de pago servicio de energ?a estado 92.,_,BELLO,Gas,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD PUNTO DE VENTA YO RECAUDO,"Nombre: Sandra Milena Ruiz Sep?lveda
Cc: 21553669
Tel: 3006870938
Dir: CR 107 B CL 48 B -59 (INTERIOR 105 )
Autoriza SMS: Si
Id:00001120561554257162
N?mero del medidor: WATERTECH_SIRIUS-S_20181003794 N?mero de la tarjeta: 047A48EA455C80
Usuario manifiesta que realiz? recarga de agua prepago el d?a 2 de Abril en el punto de venta Gana por valor de $5.000, coloca la tarjeta en el medidor y le registra 00 m3, las llaves se encuentra abiertas, y la recarga se visualiza en el sistema. ymosmore",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"CUANDO YO ME COMUNIQUE LA VERDAD TODO ESTUVO MUY BIEN, EN CUANTO QUE FUERON PERSONAS MUY AMABLES, CORDIALES ME BRINDARON EL SERVICIO Y LA FORMA EN COMO LO ENTIENDEN A UNO EN LA NECESIDAD ENTONCES FUERON MUY CORDIALES EN TODO ASPECTO, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,Cliente en calidad de usuario solicita copia de la factura Contrato 1155199,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,ME ATENDIERON RÁPIDO NO ME DEMORE NADA,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,ME GUSTO LA ACTITUD QUE TENÍA LA PERSONA QUE ME ATENDIÓ Y LO RÁPIDO QUE ATENDIERON LA LLAMADA. SE INDAGA NO DA MÁS INFORMACION.,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,BELLO,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Nombre: Juan Pablo Heriquez Barrera
Cc: 1037574688
Tel: 3006975001
Dir: CL 65 CR 56 -84 (INTERIOR 319 )
Autoriza SMS: si 
Id:  00001053371554320929
usuario se comunica validando la no entrega de la factura indica que en la unidad para un inconveniente, por que al momento de realizar el proceso de la entrega indica que las entregaron en porter?a de una persona muy grosera que en el mismo proceso de entrega hubieron varios inmuebles que no tienen facturas y manifiesta es de suma importancia para estar informado de lo que pasa sobre si factura. por favor validar",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES LA MANERA EN QUE ELLOS ME ATENDIERON LA PQRS EN DONDE ME PARECE EFECTIVA, Y BIEN ATENDIDA CONSIDERO QUE TUVIERON EN CUENTA MI SOLICITUD Y ME GENERARON UNA SOLUCIÓN AL INCONVENIENTE, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
